student_id,gender,department,location,study_mode,parental_edu,internet_access,part_time_job,study_hours_day,attendance_pct,prev_gpa,final_grade,dropout_risk,attendance_band,grade_letter
STU0020,Female,Civil,Rural,Part-Time,Post-Graduate,0,0,2.0,48.0,9.58,6.19,1,<60%,C
STU0021,Female,Civil,Urban,Full-Time,Graduate,0,1,9.0,82.0,5.22,5.84,0,75-89%,C
STU0022,Female,Electronics,Semi-Urban,Full-Time,High School,0,0,6.0,42.0,8.77,6.89,1,<60%,C
STU0023,Female,Electronics,Rural,Full-Time,None,1,0,9.0,70.0,7.05,8.31,0,60-74%,B
STU0024,Male,Computer Science,Rural,Full-Time,High School,0,0,2.0,40.0,8.88,5.48,1,<60%,D
STU0025,Female,Civil,Urban,Full-Time,Graduate,1,1,3.0,64.0,7.4,5.22,0,60-74%,D
STU0026,Female,Business,Urban,Full-Time,High School,1,0,2.0,44.0,4.6,4.78,1,<60%,D
STU0027,Female,Civil,Urban,Part-Time,Graduate,1,0,4.0,65.0,5.85,6.53,0,60-74%,C
STU0028,Female,Electronics,Urban,Part-Time,High School,1,0,8.0,48.0,7.05,7.67,1,<60%,B
STU0029,Male,Business,Urban,Full-Time,High School,1,0,4.0,65.0,7.06,7.46,0,60-74%,B
STU0030,Female,Arts,Urban,Part-Time,High School,1,0,5.0,54.0,7.59,4.91,1,<60%,D
STU0031,Male,Arts,Urban,Part-Time,High School,1,0,9.0,70.0,5.82,6.26,0,60-74%,C
STU0032,Female,Arts,Rural,Full-Time,Graduate,1,1,9.0,83.0,7.82,7.98,0,75-89%,B
STU0033,Female,Mechanical,Semi-Urban,Full-Time,High School,1,0,6.0,78.0,7.05,6.45,0,75-89%,C
STU0034,Female,Business,Urban,Full-Time,Graduate,1,0,3.0,68.0,4.89,4.29,0,60-74%,D
STU0035,Male,Business,Rural,Full-Time,High School,1,0,4.0,82.0,5.74,7.4,0,75-89%,B
STU0036,Female,Civil,Urban,Full-Time,None,1,0,3.0,68.0,6.83,6.65,0,60-74%,C
STU0037,Male,Computer Science,Rural,Part-Time,High School,1,0,1.0,58.0,5.55,5.31,1,<60%,D
STU0038,Female,Business,Semi-Urban,Full-Time,Graduate,1,0,8.0,98.0,7.71,8.82,0,90%+,A
STU0039,Female,Electronics,Urban,Full-Time,High School,1,0,4.0,86.0,9.0,6.97,0,75-89%,C
STU0040,Male,Electronics,Semi-Urban,Full-Time,None,1,0,5.0,88.0,4.53,5.4,0,75-89%,D
STU0041,Female,Arts,Urban,Full-Time,Graduate,1,0,4.0,73.0,5.84,5.6,0,60-74%,C
STU0042,Male,Electronics,Urban,Full-Time,Graduate,0,1,7.0,70.0,7.94,8.0,0,60-74%,B
STU0043,Male,Business,Semi-Urban,Full-Time,Graduate,1,0,8.0,49.0,7.67,5.6,1,<60%,C
STU0044,Male,Computer Science,Semi-Urban,Full-Time,Graduate,1,0,1.0,48.0,8.98,5.14,1,<60%,D
STU0045,Female,Business,Urban,Part-Time,Post-Graduate,1,0,1.0,48.0,8.05,7.15,1,<60%,B
STU0046,Female,Business,Semi-Urban,Full-Time,High School,1,0,7.0,70.0,8.81,8.53,0,60-74%,A
STU0047,Female,Arts,Rural,Full-Time,None,1,0,3.0,62.0,4.07,4.73,0,60-74%,D
STU0048,Female,Business,Rural,Full-Time,Post-Graduate,1,0,3.0,95.0,4.78,4.94,0,90%+,D
STU0049,Male,Civil,Semi-Urban,Full-Time,Graduate,1,0,2.0,67.0,9.05,7.34,0,60-74%,B
STU0050,Female,Arts,Semi-Urban,Full-Time,High School,1,1,4.0,52.0,7.66,4.22,1,<60%,D
STU0051,Male,Civil,Urban,Full-Time,Graduate,1,0,4.0,44.0,4.94,5.15,1,<60%,D
STU0052,Male,Electronics,Semi-Urban,Full-Time,High School,1,0,2.0,98.0,6.67,6.61,0,90%+,C
STU0053,Female,Computer Science,Rural,Full-Time,High School,0,0,2.0,93.0,6.94,6.69,0,90%+,C
STU0054,Male,Computer Science,Urban,Part-Time,Graduate,1,0,3.0,97.0,7.92,8.04,0,90%+,B
STU0055,Male,Business,Urban,Full-Time,Post-Graduate,1,0,3.0,71.0,7.93,5.97,0,60-74%,C
STU0056,Male,Computer Science,Rural,Full-Time,Graduate,1,1,2.0,70.0,8.67,7.21,0,60-74%,B
STU0057,Male,Mechanical,Rural,Full-Time,High School,1,0,7.0,73.0,9.91,8.42,0,60-74%,B
STU0058,Male,Business,Urban,Full-Time,Graduate,1,1,3.0,42.0,7.15,4.67,1,<60%,D
STU0059,Female,Mechanical,Rural,Full-Time,High School,1,1,6.0,70.0,9.53,8.08,0,60-74%,B
STU0060,Female,Mechanical,Rural,Full-Time,High School,1,0,9.0,42.0,8.33,8.09,0,<60%,B
STU0061,Female,Computer Science,Semi-Urban,Full-Time,High School,1,0,3.0,68.0,8.89,7.7,0,60-74%,B
STU0062,Female,Arts,Urban,Part-Time,Post-Graduate,1,0,2.0,78.0,4.57,5.63,0,75-89%,C
STU0063,Female,Arts,Rural,Full-Time,High School,0,0,1.0,70.0,5.3,3.94,1,60-74%,F
STU0064,Male,Mechanical,Semi-Urban,Full-Time,Graduate,0,0,9.0,71.0,5.31,7.14,0,60-74%,B
STU0065,Female,Computer Science,Rural,Part-Time,High School,1,0,2.0,82.0,7.05,5.76,1,75-89%,C
STU0066,Male,Arts,Urban,Part-Time,Post-Graduate,1,0,7.0,78.0,5.69,8.73,0,75-89%,A
STU0067,Female,Business,Rural,Full-Time,High School,1,1,2.0,98.0,5.17,4.12,1,90%+,D
STU0068,Female,Civil,Urban,Full-Time,High School,1,0,1.0,54.0,9.65,5.85,1,<60%,C
STU0069,Female,Business,Urban,Full-Time,Graduate,1,1,6.0,63.0,6.88,6.98,0,60-74%,C
STU0070,Male,Business,Urban,Part-Time,Graduate,1,0,7.0,82.0,7.22,9.42,0,75-89%,A
STU0071,Male,Mechanical,Semi-Urban,Full-Time,High School,0,1,3.0,53.0,6.81,3.71,1,<60%,F
STU0072,Female,Computer Science,Rural,Full-Time,High School,1,0,3.0,54.0,6.78,6.3,1,<60%,C
STU0073,Male,Computer Science,Semi-Urban,Part-Time,Graduate,0,1,7.0,50.0,5.52,5.44,1,<60%,D
STU0074,Female,Computer Science,Semi-Urban,Full-Time,Post-Graduate,1,1,5.0,97.0,5.92,8.26,0,90%+,B
STU0075,Female,Civil,Semi-Urban,Full-Time,Post-Graduate,1,1,8.0,48.0,9.18,8.14,1,<60%,B
STU0076,Male,Civil,Urban,Full-Time,Post-Graduate,1,0,6.0,43.0,9.61,6.92,1,<60%,C
STU0077,Female,Mechanical,Urban,Full-Time,Graduate,0,0,8.0,82.0,5.62,6.07,0,75-89%,C
STU0078,Male,Computer Science,Rural,Full-Time,None,1,0,3.0,48.0,6.76,6.24,1,<60%,C
STU0079,Male,Arts,Urban,Full-Time,High School,1,0,5.0,94.0,5.08,8.5,0,90%+,B
STU0080,Male,Civil,Semi-Urban,Full-Time,Post-Graduate,1,0,9.0,84.0,8.74,10.0,0,75-89%,A
STU0081,Female,Computer Science,Rural,Full-Time,High School,1,0,3.0,85.0,7.97,7.74,0,75-89%,B
STU0082,Male,Electronics,Rural,Full-Time,Graduate,0,1,4.0,70.0,8.76,7.04,0,60-74%,B
STU0083,Male,Civil,Semi-Urban,Full-Time,Graduate,1,1,5.0,65.0,9.71,5.76,0,60-74%,C
STU0084,Female,Mechanical,Semi-Urban,Full-Time,High School,1,0,2.0,92.0,8.87,5.88,0,90%+,C
STU0085,Male,Business,Rural,Full-Time,None,1,0,8.0,90.0,8.55,9.45,0,90%+,A
STU0086,Female,Computer Science,Semi-Urban,Full-Time,High School,1,1,5.0,87.0,4.18,7.03,0,75-89%,B
STU0087,Male,Arts,Rural,Full-Time,High School,1,0,6.0,61.0,5.38,6.79,0,60-74%,C
STU0088,Female,Computer Science,Urban,Full-Time,Graduate,1,1,9.0,51.0,9.74,9.09,1,<60%,A
STU0089,Male,Civil,Semi-Urban,Full-Time,None,1,0,8.0,66.0,5.05,5.39,0,60-74%,D
STU0090,Male,Mechanical,Urban,Full-Time,Graduate,1,0,9.0,50.0,9.54,7.35,1,<60%,B
STU0091,Female,Mechanical,Semi-Urban,Full-Time,High School,1,0,1.0,78.0,7.14,5.94,0,75-89%,C
STU0092,Female,Mechanical,Rural,Full-Time,Post-Graduate,1,0,7.0,58.0,7.27,7.41,1,<60%,B
STU0093,Male,Computer Science,Semi-Urban,Full-Time,Post-Graduate,0,1,1.0,92.0,9.33,5.66,0,90%+,C
STU0094,Male,Mechanical,Urban,Full-Time,Graduate,1,0,9.0,42.0,4.71,5.06,0,<60%,D
STU0095,Female,Computer Science,Urban,Full-Time,High School,1,0,5.0,91.0,9.24,8.3,0,90%+,B
STU0096,Female,Civil,Urban,Full-Time,Graduate,1,0,7.0,57.0,6.6,7.35,1,<60%,B
STU0097,Female,Mechanical,Urban,Full-Time,High School,1,0,5.0,43.0,4.89,4.71,1,<60%,D
STU0098,Female,Computer Science,Semi-Urban,Full-Time,Graduate,1,0,2.0,81.0,7.38,6.53,0,75-89%,C
STU0099,Female,Business,Urban,Part-Time,High School,0,0,9.0,93.0,4.52,9.05,0,90%+,A
STU0100,Female,Business,Semi-Urban,Full-Time,Post-Graduate,1,1,4.0,43.0,7.73,5.51,1,<60%,C
STU0101,Female,Business,Urban,Part-Time,Graduate,1,0,2.0,91.0,8.62,7.39,0,90%+,B
STU0102,Male,Computer Science,Urban,Full-Time,Post-Graduate,1,0,9.0,69.0,9.02,10.0,0,60-74%,A
STU0103,Female,Civil,Semi-Urban,Full-Time,Graduate,0,0,8.0,71.0,4.82,6.17,0,60-74%,C
STU0104,Male,Business,Rural,Full-Time,None,0,1,5.0,44.0,7.18,3.89,1,<60%,F
STU0105,Male,Mechanical,Urban,Full-Time,None,0,0,9.0,44.0,7.89,7.17,1,<60%,B
STU0106,Female,Business,Semi-Urban,Full-Time,None,1,0,9.0,49.0,9.22,8.69,1,<60%,A
STU0107,Female,Computer Science,Semi-Urban,Part-Time,Graduate,0,1,7.0,62.0,8.41,7.56,0,60-74%,B
STU0108,Male,Business,Urban,Full-Time,High School,1,1,7.0,57.0,6.24,6.56,1,<60%,C
STU0109,Male,Computer Science,Semi-Urban,Full-Time,High School,1,0,6.0,83.0,4.34,7.55,0,75-89%,B
STU0110,Female,Electronics,Urban,Full-Time,None,1,0,3.0,81.0,5.47,5.81,0,75-89%,C
STU0111,Female,Computer Science,Rural,Full-Time,Graduate,1,1,3.0,90.0,7.05,5.81,0,90%+,C
STU0112,Female,Civil,Rural,Full-Time,Post-Graduate,0,1,5.0,70.0,8.4,5.89,1,60-74%,C
STU0113,Male,Mechanical,Rural,Part-Time,High School,0,1,8.0,55.0,4.05,4.79,1,<60%,D
STU0114,Male,Arts,Urban,Full-Time,High School,1,0,9.0,70.0,6.33,8.5,0,60-74%,B
STU0115,Female,Arts,Urban,Part-Time,High School,1,0,6.0,66.0,7.99,9.45,0,60-74%,A
STU0116,Female,Computer Science,Urban,Full-Time,High School,1,0,7.0,52.0,7.05,6.69,1,<60%,C
STU0117,Female,Electronics,Urban,Part-Time,High School,0,0,3.0,52.0,9.77,6.49,1,<60%,C
STU0118,Female,Business,Urban,Full-Time,High School,1,0,4.0,73.0,9.36,6.4,0,60-74%,C
STU0119,Female,Civil,Urban,Full-Time,High School,1,0,9.0,44.0,6.89,6.98,1,<60%,C
STU0120,Male,Civil,Urban,Part-Time,Post-Graduate,1,0,3.0,54.0,6.66,5.57,1,<60%,C
STU0121,Male,Computer Science,Semi-Urban,Part-Time,Graduate,1,0,4.0,54.0,4.15,4.34,1,<60%,D
STU0122,Male,Arts,Semi-Urban,Full-Time,Graduate,1,0,4.0,89.0,4.45,6.41,0,75-89%,C
STU0123,Male,Electronics,Urban,Full-Time,Post-Graduate,1,1,7.0,99.0,6.3,8.66,0,90%+,A
STU0124,Female,Mechanical,Urban,Full-Time,Post-Graduate,0,0,5.0,48.0,6.14,5.04,1,<60%,D
STU0125,Female,Business,Urban,Full-Time,None,0,0,2.0,70.0,9.71,5.35,1,60-74%,D
STU0126,Female,Mechanical,Urban,Full-Time,Graduate,1,1,1.0,70.0,9.19,5.53,0,60-74%,C
STU0127,Male,Civil,Semi-Urban,Full-Time,Post-Graduate,1,1,8.0,83.0,6.76,7.88,0,75-89%,B
STU0128,Female,Arts,Urban,Full-Time,Graduate,1,0,8.0,48.0,9.21,7.21,1,<60%,B
STU0129,Female,Mechanical,Semi-Urban,Full-Time,Graduate,1,0,7.0,72.0,4.89,6.42,0,60-74%,C
STU0130,Male,Mechanical,Urban,Full-Time,Graduate,1,0,7.0,85.0,5.74,8.07,0,75-89%,B
STU0131,Male,Arts,Semi-Urban,Full-Time,Post-Graduate,0,0,4.0,50.0,9.68,6.74,1,<60%,C
STU0132,Male,Business,Urban,Full-Time,None,1,1,9.0,89.0,4.63,8.75,0,75-89%,A
STU0133,Female,Arts,Urban,Part-Time,Post-Graduate,1,0,4.0,68.0,6.02,6.53,0,60-74%,C
STU0134,Female,Mechanical,Urban,Full-Time,High School,1,1,3.0,83.0,4.81,6.36,0,75-89%,C
STU0135,Male,Civil,Urban,Full-Time,Post-Graduate,0,0,3.0,87.0,9.19,6.28,0,75-89%,C
STU0136,Female,Business,Urban,Full-Time,High School,1,1,8.0,69.0,7.72,7.03,0,60-74%,B
STU0137,Male,Computer Science,Urban,Full-Time,Graduate,1,1,3.0,63.0,9.59,5.4,0,60-74%,D
STU0138,Male,Electronics,Rural,Full-Time,None,1,0,7.0,54.0,4.89,5.08,0,<60%,D
STU0139,Male,Civil,Urban,Full-Time,Graduate,0,0,5.0,82.0,6.0,5.87,0,75-89%,C
STU0140,Female,Arts,Urban,Full-Time,Graduate,1,1,2.0,54.0,5.42,4.58,1,<60%,D
STU0141,Male,Civil,Rural,Full-Time,Post-Graduate,1,1,1.0,70.0,7.46,4.64,1,60-74%,D
STU0142,Male,Civil,Rural,Part-Time,High School,0,0,4.0,70.0,7.98,6.42,0,60-74%,C
STU0143,Male,Arts,Urban,Full-Time,Graduate,0,0,5.0,41.0,7.31,4.69,1,<60%,D
STU0144,Male,Computer Science,Urban,Part-Time,Graduate,0,0,8.0,63.0,6.09,6.62,0,60-74%,C
STU0145,Male,Arts,Semi-Urban,Full-Time,Graduate,0,0,5.0,90.0,5.9,5.58,0,90%+,C
STU0146,Female,Business,Rural,Full-Time,Graduate,1,0,4.0,98.0,4.83,7.35,0,90%+,B
STU0147,Male,Business,Rural,Full-Time,Graduate,1,0,4.0,87.0,9.32,7.95,0,75-89%,B
STU0148,Female,Electronics,Semi-Urban,Full-Time,None,0,0,5.0,85.0,9.43,8.38,0,75-89%,B
STU0149,Female,Electronics,Urban,Full-Time,Graduate,1,0,1.0,88.0,4.93,5.94,1,75-89%,C
STU0150,Female,Mechanical,Semi-Urban,Full-Time,High School,1,0,1.0,53.0,8.45,5.65,1,<60%,C
STU0151,Male,Business,Urban,Full-Time,High School,1,1,7.0,56.0,9.85,7.23,1,<60%,B
STU0152,Male,Arts,Urban,Full-Time,None,1,1,5.0,55.0,5.82,5.69,1,<60%,C
STU0153,Male,Mechanical,Urban,Full-Time,High School,1,1,4.0,52.0,4.33,4.85,1,<60%,D
STU0154,Female,Mechanical,Semi-Urban,Full-Time,Graduate,0,0,5.0,52.0,4.03,4.64,1,<60%,D
STU0155,Male,Mechanical,Urban,Full-Time,High School,1,1,9.0,43.0,7.99,6.79,0,<60%,C
STU0156,Female,Mechanical,Rural,Full-Time,High School,1,1,4.0,98.0,5.96,7.23,0,90%+,B
STU0157,Female,Computer Science,Semi-Urban,Full-Time,High School,1,0,9.0,86.0,9.39,10.0,0,75-89%,A
STU0158,Female,Mechanical,Urban,Full-Time,Graduate,1,1,4.0,52.0,7.61,7.05,1,<60%,B
STU0159,Female,Arts,Urban,Full-Time,Post-Graduate,1,1,3.0,83.0,5.64,6.58,0,75-89%,C
STU0160,Female,Mechanical,Urban,Full-Time,Graduate,0,1,2.0,58.0,9.75,6.15,1,<60%,C
STU0161,Female,Civil,Rural,Full-Time,None,1,1,7.0,64.0,9.98,7.85,0,60-74%,B
STU0162,Male,Computer Science,Semi-Urban,Full-Time,Post-Graduate,0,0,8.0,46.0,7.1,6.59,0,<60%,C
STU0163,Female,Arts,Urban,Full-Time,Graduate,1,0,7.0,48.0,8.75,9.23,1,<60%,A
STU0164,Male,Mechanical,Urban,Full-Time,Post-Graduate,1,0,3.0,43.0,9.3,6.7,1,<60%,C
STU0165,Female,Computer Science,Rural,Part-Time,Graduate,1,0,5.0,48.0,6.56,6.33,1,<60%,C
STU0166,Female,Computer Science,Rural,Full-Time,High School,1,1,2.0,40.0,9.86,5.58,1,<60%,C
STU0167,Female,Computer Science,Urban,Full-Time,None,1,0,6.0,80.0,5.58,6.96,0,75-89%,C
STU0168,Male,Business,Semi-Urban,Full-Time,High School,1,0,9.0,75.0,8.12,10.0,0,75-89%,A
STU0169,Female,Computer Science,Semi-Urban,Full-Time,High School,1,0,9.0,61.0,9.01,8.65,0,60-74%,A
STU0170,Male,Electronics,Urban,Full-Time,Post-Graduate,1,0,6.0,56.0,6.96,7.24,0,<60%,B
STU0171,Female,Electronics,Semi-Urban,Full-Time,High School,0,1,9.0,73.0,6.61,7.47,0,60-74%,B
STU0172,Female,Civil,Semi-Urban,Full-Time,Graduate,1,0,3.0,69.0,4.94,5.42,0,60-74%,D
STU0173,Female,Business,Semi-Urban,Full-Time,Graduate,1,1,4.0,76.0,7.05,4.53,0,75-89%,D
STU0174,Female,Civil,Rural,Part-Time,Graduate,0,0,5.0,48.0,6.06,5.39,1,<60%,D
STU0175,Male,Computer Science,Urban,Full-Time,Graduate,1,1,8.0,94.0,7.52,9.25,0,90%+,A
STU0176,Male,Civil,Urban,Full-Time,None,1,1,5.0,69.0,4.48,4.99,0,60-74%,D
STU0177,Female,Business,Urban,Full-Time,Post-Graduate,1,0,7.0,65.0,8.53,7.64,0,60-74%,B
STU0178,Female,Mechanical,Rural,Full-Time,Graduate,1,0,6.0,91.0,7.05,6.89,0,90%+,C
STU0179,Female,Business,Rural,Full-Time,Post-Graduate,0,0,5.0,85.0,9.17,8.43,0,75-89%,B
STU0180,Female,Arts,Semi-Urban,Full-Time,High School,1,1,5.0,84.0,7.19,7.97,0,75-89%,B
STU0181,Female,Business,Semi-Urban,Full-Time,Graduate,1,1,5.0,73.0,5.9,5.9,0,60-74%,C
STU0182,Female,Mechanical,Urban,Full-Time,Graduate,1,0,5.0,92.0,8.59,7.06,0,90%+,B
STU0183,Female,Computer Science,Semi-Urban,Full-Time,Post-Graduate,0,0,5.0,59.0,9.98,7.15,1,<60%,B
STU0184,Female,Civil,Rural,Full-Time,High School,1,1,6.0,45.0,7.74,4.81,1,<60%,D
STU0185,Male,Business,Urban,Full-Time,Post-Graduate,1,0,7.0,85.0,4.16,6.06,0,75-89%,C
STU0186,Female,Computer Science,Urban,Full-Time,Graduate,1,0,7.0,70.0,4.67,5.2,1,60-74%,D
STU0187,Female,Mechanical,Semi-Urban,Part-Time,None,1,1,9.0,40.0,4.68,5.44,1,<60%,D
STU0188,Female,Business,Rural,Full-Time,Post-Graduate,1,0,4.0,40.0,7.68,6.83,1,<60%,C
STU0189,Male,Civil,Rural,Part-Time,Post-Graduate,0,0,5.0,70.0,5.5,6.65,1,60-74%,C
STU0190,Male,Civil,Semi-Urban,Part-Time,Post-Graduate,0,1,8.0,75.0,4.51,7.47,0,75-89%,B
STU0191,Male,Mechanical,Urban,Full-Time,Post-Graduate,0,0,8.0,70.0,9.27,8.35,0,60-74%,B
STU0192,Female,Electronics,Semi-Urban,Full-Time,None,1,0,2.0,98.0,9.62,7.96,0,90%+,B
STU0193,Female,Mechanical,Urban,Full-Time,High School,1,0,5.0,96.0,5.5,6.42,0,90%+,C
STU0194,Male,Electronics,Semi-Urban,Part-Time,High School,1,0,3.0,87.0,5.02,6.49,0,75-89%,C
STU0195,Male,Civil,Urban,Full-Time,High School,1,1,3.0,67.0,9.42,7.25,0,60-74%,B
STU0196,Male,Mechanical,Urban,Full-Time,High School,0,0,1.0,99.0,5.27,6.33,1,90%+,C
STU0197,Female,Business,Urban,Part-Time,Post-Graduate,1,0,2.0,66.0,6.49,6.21,0,60-74%,C
STU0198,Female,Business,Urban,Part-Time,High School,0,1,5.0,81.0,4.79,4.39,1,75-89%,D
STU0199,Female,Civil,Urban,Full-Time,Post-Graduate,1,1,6.0,77.0,7.52,7.82,0,75-89%,B
STU0200,Female,Civil,Urban,Part-Time,Post-Graduate,1,0,1.0,68.0,9.61,6.27,0,60-74%,C
STU0201,Male,Business,Rural,Full-Time,Post-Graduate,0,1,6.0,89.0,4.44,7.42,0,75-89%,B
STU0202,Female,Mechanical,Urban,Full-Time,Graduate,1,1,5.0,40.0,7.05,4.68,1,<60%,D
STU0203,Female,Computer Science,Semi-Urban,Part-Time,Post-Graduate,1,1,2.0,99.0,9.42,7.47,1,90%+,B
STU0204,Male,Mechanical,Urban,Part-Time,Post-Graduate,0,0,2.0,51.0,9.96,7.65,1,<60%,B
STU0205,Female,Arts,Semi-Urban,Full-Time,Graduate,1,0,3.0,45.0,8.4,7.52,1,<60%,B
STU0206,Male,Mechanical,Urban,Full-Time,Graduate,1,0,4.0,91.0,6.32,7.03,0,90%+,B
STU0207,Male,Electronics,Urban,Full-Time,Graduate,1,0,6.0,76.0,6.64,7.8,0,75-89%,B
STU0208,Male,Electronics,Semi-Urban,Full-Time,Graduate,1,1,1.0,70.0,6.31,5.69,0,60-74%,C
STU0209,Male,Business,Urban,Full-Time,Post-Graduate,1,1,6.0,79.0,9.02,8.25,0,75-89%,B
STU0210,Female,Business,Urban,Full-Time,Graduate,0,1,4.0,79.0,6.14,5.26,0,75-89%,D
STU0211,Female,Computer Science,Urban,Full-Time,High School,1,0,9.0,91.0,6.09,7.12,0,90%+,B
STU0212,Male,Civil,Rural,Full-Time,Graduate,1,0,6.0,85.0,7.05,7.91,0,75-89%,B
STU0213,Male,Arts,Urban,Part-Time,Graduate,1,0,7.0,60.0,6.55,7.61,0,60-74%,B
STU0214,Male,Electronics,Urban,Part-Time,Graduate,1,0,4.0,70.0,9.03,7.34,0,60-74%,B
STU0215,Male,Electronics,Urban,Full-Time,High School,1,1,3.0,86.0,9.91,7.62,0,75-89%,B
STU0216,Female,Arts,Urban,Full-Time,Graduate,0,0,1.0,46.0,9.6,5.05,1,<60%,D
STU0217,Male,Computer Science,Semi-Urban,Full-Time,High School,0,0,1.0,60.0,7.38,4.38,1,60-74%,D
STU0218,Male,Business,Semi-Urban,Full-Time,Post-Graduate,1,1,1.0,40.0,5.86,3.21,1,<60%,F
STU0219,Female,Computer Science,Rural,Full-Time,Graduate,1,0,5.0,99.0,9.32,9.67,0,90%+,A
STU0220,Male,Arts,Urban,Part-Time,Graduate,1,1,5.0,40.0,6.53,3.98,1,<60%,F
STU0221,Male,Civil,Urban,Full-Time,Graduate,1,0,4.0,65.0,4.43,6.0,0,60-74%,C
STU0222,Male,Civil,Semi-Urban,Full-Time,High School,1,0,7.0,97.0,6.1,7.56,0,90%+,B
STU0223,Male,Civil,Rural,Full-Time,High School,1,0,2.0,64.0,5.59,4.96,1,60-74%,D
STU0224,Male,Civil,Semi-Urban,Full-Time,High School,1,0,9.0,42.0,5.09,7.06,1,<60%,B
STU0225,Female,Mechanical,Urban,Full-Time,High School,1,0,2.0,72.0,8.82,6.06,1,60-74%,C
STU0226,Female,Electronics,Semi-Urban,Full-Time,High School,0,0,4.0,70.0,6.75,7.32,0,60-74%,B
STU0227,Male,Electronics,Rural,Part-Time,High School,0,1,2.0,42.0,6.35,3.8,1,<60%,F
STU0228,Female,Mechanical,Semi-Urban,Part-Time,Graduate,1,0,5.0,55.0,8.65,7.29,1,<60%,B
STU0229,Female,Mechanical,Urban,Full-Time,Graduate,1,0,8.0,45.0,6.4,6.46,1,<60%,C
STU0230,Female,Arts,Rural,Full-Time,Graduate,1,0,4.0,90.0,5.71,5.88,0,90%+,C
STU0231,Male,Electronics,Urban,Full-Time,Graduate,1,0,4.0,95.0,9.9,6.58,0,90%+,C
STU0232,Male,Electronics,Urban,Part-Time,Graduate,0,1,1.0,95.0,6.96,5.93,1,90%+,C
STU0233,Female,Civil,Urban,Full-Time,None,1,1,9.0,74.0,9.28,9.22,0,60-74%,A
STU0234,Male,Arts,Semi-Urban,Part-Time,High School,0,0,9.0,75.0,5.11,6.78,0,75-89%,C
STU0235,Male,Civil,Semi-Urban,Full-Time,Post-Graduate,1,1,9.0,92.0,6.94,7.65,0,90%+,B
STU0236,Female,Mechanical,Urban,Full-Time,High School,1,0,6.0,41.0,7.54,6.58,1,<60%,C
STU0237,Male,Computer Science,Urban,Full-Time,Post-Graduate,1,1,7.0,70.0,7.83,8.3,0,60-74%,B
STU0238,Female,Arts,Semi-Urban,Full-Time,Graduate,1,0,7.0,43.0,4.18,5.68,0,<60%,C
STU0239,Male,Arts,Semi-Urban,Full-Time,High School,1,0,2.0,73.0,9.78,6.75,1,60-74%,C
STU0240,Female,Mechanical,Rural,Full-Time,Post-Graduate,1,1,2.0,74.0,8.23,6.66,0,60-74%,C
STU0241,Male,Civil,Urban,Full-Time,High School,1,1,3.0,75.0,8.74,5.89,0,75-89%,C
STU0242,Male,Computer Science,Rural,Full-Time,Graduate,1,0,5.0,75.0,8.84,7.23,0,75-89%,B
